Player,Shot90,GoalConvRate,DribbleSucRate,TouchInBox90,Pass90,PassAcc,FwdPass90,KeyPass90,PassToBoxAcc,ThruPass90,ThruPassAcc,Score90
L. Messi,5.33,18.909,76.36,4.13,54.44,83.35,18.44,0.97,65.85,5.73,41.55,1.28
D. Tadić,1.94,31.783,70.22,5.81,42.19,74.71,12.01,1.23,55.11,2.88,37.17,0.75
R. Skov,3.6,18.497,69.18,3.43,34.82,83.4,7.63,0.33,59.73,0.69,30.3,0.67
Mohamed Salah,3.69,15.686,62.22,5.74,27.52,76.78,6.61,0.63,58.33,1.83,32.67,0.69
R. Sterling,2.18,24.409,71.93,5.72,37.09,84.24,5.88,0.69,56.65,0.82,37.5,0.8
S. Mané,2.13,22.314,66.67,4.44,30.31,78.68,7.03,0.42,61.96,1.3,37.84,0.53
E. Hazard,2.53,17.931,80.09,5.52,49.94,85.3,11.81,0.66,73.05,0.87,58,0.57
Neymar,3.76,20.161,68.9,4.7,54.99,82.29,20.32,0.82,64.25,4.85,35.63,0.91
N. Pépé,2.91,18.462,66.86,3.06,30.04,80.64,7.63,0.54,56.91,1.14,43.14,0.61
J. Yeboah,4.42,22.68,69.47,4.55,25.95,71.75,8.33,0.46,63.86,1.23,44.44,0.96
H. Ziyech,4.8,9.302,65.37,3.52,48.75,74.19,15.21,0.78,54.15,3.98,33.18,0.78
C. Vela,3.88,16.438,76.85,4.09,32.02,77.78,8.55,0.8,62.76,2.04,27.27,0.85
J. Forrest,2.2,18.182,78.5,4.39,35.39,83.99,6.01,0.58,63.93,0.47,53.85,0.62
L. Trossard,3.7,13.58,77.26,4.39,40.66,76.12,12.06,0.89,62.45,2.47,33.33,0.62
J. Bowen,2.41,19.469,67.05,3.11,21.81,74.12,6.52,0.3,53.68,0.7,27.27,0.47
H. Lozano,3.08,17.323,73.51,4,23.1,74.11,4.38,0.65,55.56,0.82,29.41,0.61
Rafa Silva,2.22,24.419,68.7,4.31,27.82,77.83,7.84,0.72,66.02,1.16,37.78,0.59
João Victor,2.6,23.529,68.28,4.63,28.83,75.56,5.54,0.74,69.01,0.7,34.78,0.76
Á. Di María,3.16,14.706,72.89,4.11,47.53,78.53,12.62,0.67,48.52,3.16,33.09,0.83
V. Tsygankov,2.45,15.833,76.23,2.9,36.54,78.68,9.24,0.47,57.3,1.28,38.1,0.57
H. Wilson,2.61,14.844,75.16,1.47,29.47,76.71,7.9,0.31,61.65,1.08,33.96,0.41
D. Rossi,2.99,14.035,61.87,5.66,29.65,80.74,4.61,0.42,53.7,0.76,24.14,0.58
F. Thauvin,3.16,16.514,67.75,3.98,39.16,78.28,9.52,0.46,49.29,1.8,32.26,0.72
L. Sané,2.73,18.75,70.44,6.56,37.76,82.86,6.84,0.43,59.48,0.65,21.74,0.85
V. Claesson,2.46,14.063,71.43,4.15,33.56,80.34,8.44,0.46,64.46,1.21,33.33,0.46
S. Sinclair,2.51,16.505,69.07,4.21,31.1,86.77,5.7,0.19,54.93,0.29,16.67,0.44
Mikel Oyarzabal,1.95,18.28,64.32,2.89,28.33,79.57,7.07,0.34,52.1,1.03,38.78,0.35
D. Royer,2.4,20.238,67.78,4.06,26.42,68.86,7.57,0.26,50.65,0.63,31.82,0.66
R. van Wolfswinkel,2.85,16.19,60.87,3.67,26.27,79.52,6.47,0.27,54.55,0.46,41.18,0.62
